name,Beijing_target,Tianjin_target,Hebei_target,Shanxi_target,Neimeng_target,Liaoning_target,Jilin_target,Heilongjiang_target,Shanghai_target,Jiangsu_target,Zhejiang_target,Anhui_target,Fujian_target,Jiangxi_target,Shandong_target,Henan_target,Hubei_target,Hunan_target,Guangdong_target,Guangxi_target,Hainan_target,Chongqing_target,Sichuan_target,Guizhou_target,Yunnan_target,Xizang_target,Shaanxi_target,Gansu_target,Qinghai_target,Ningxia_target,Xinjiang_target
Hubei,0.018361531,0.025001697,0.023254545,0.041280417,0.007199363,0.01694168,0.00899307,0.004042721,0.023817523,0.037480619,0.016250897,0.048422549,0.006266611,0.016765485,0.047052571,0.086093469,0.092308143,0.031352529,0.003591427,0.005956124,0.002818719,0.047298346,0.013772415,0.013131212,0.003373377,1.47E-05,0.063939199,0.011405507,0.000785615,0.021388286,7.45E-06
Hunan,0.006653879,0.011982232,0.009861836,0.012882741,0.001974598,0.009667993,0.004611601,0.001817921,0.02710252,0.031542206,0.027535622,0.045780043,0.015150582,0.040770028,0.033208931,0.040445485,0.069880541,0.068080099,0.009749268,0.014840819,0.005152291,0.036363287,0.007996516,0.023420647,0.004041245,1.76E-05,0.019883478,0.004234167,0.000196133,0.005475446,7.25E-07
Guangdong,0.002035421,0.003878246,0.002922547,0.003034253,0.000500989,0.004692618,0.002174114,0.000755375,0.020604331,0.018085191,0.025800777,0.02108837,0.038599131,0.037627833,0.012858726,0.010597163,0.013546174,0.020192713,0.044759989,0.019985802,0.012184836,0.006893904,0.003106069,0.006901876,0.002870578,1.79E-05,0.005521799,0.001802519,4.70E-05,0.001788389,2.68E-08
Guangxi,0.005159704,0.00807692,0.007387934,0.010327096,0.001389726,0.005682917,0.002590838,0.001038451,0.020492297,0.022334105,0.024949258,0.032161291,0.020913668,0.040274426,0.022063568,0.026515719,0.044576782,0.063305134,0.022768896,0.063032159,0.011099949,0.041713727,0.014066462,0.059394635,0.013875016,4.65E-05,0.021014594,0.007642642,0.000272517,0.007679631,1.25E-06
Hainan,0.00035384,0.000620355,0.000524999,0.000538923,8.50E-05,0.000504504,0.000214706,7.96E-05,0.002851313,0.002401575,0.00340988,0.002949578,0.004406921,0.00474229,0.002006614,0.001697195,0.002330237,0.003855302,0.007994512,0.005884738,0.014834515,0.001725034,0.000536739,0.002129567,0.000689107,5.89E-06,0.00097151,0.000251393,1.62E-05,0.000291578,1.53E-07
Chongqing,0.004852908,0.006533008,0.006577104,0.016534058,0.002996316,0.003403826,0.001950783,0.00090155,0.004414866,0.006835059,0.003474167,0.008144825,0.001351795,0.003575724,0.008936324,0.021206613,0.026424104,0.007978051,0.000617831,0.00142254,0.000394526,0.054526324,0.027240165,0.010739333,0.003278243,1.05E-05,0.045995087,0.017276352,0.001034581,0.019248015,5.92E-06
Sichuan,0.014412221,0.015333124,0.016790687,0.044496693,0.012352818,0.008244838,0.005100695,0.002387377,0.011451181,0.014744759,0.009493459,0.018051876,0.003931097,0.009806799,0.01739047,0.038178896,0.046758949,0.02012032,0.001601938,0.003912923,0.000904707,0.125237102,0.297258551,0.044045255,0.029295953,0.007586417,0.12851492,0.15381873,0.060306904,0.106226645,6.38E-05
Guizhou,0.005265209,0.006962519,0.006564757,0.013615871,0.001946339,0.003897309,0.001914003,0.000838848,0.009461582,0.011970754,0.010265327,0.017025374,0.005746864,0.013775431,0.01258915,0.024032543,0.043806005,0.034395375,0.002885355,0.011174103,0.001925325,0.088106268,0.035609372,0.06950367,0.016667517,3.71E-05,0.037444253,0.015661339,0.000647306,0.014782547,2.63E-06
Yunnan,0.003185166,0.00441631,0.004384817,0.009867005,0.0015781,0.00242985,0.001253693,0.000492391,0.012343915,0.012387982,0.013647377,0.018265392,0.009743046,0.01930012,0.009067138,0.020088186,0.040227839,0.037636005,0.005771671,0.021452165,0.002488624,0.090320941,0.113605555,0.107107905,0.130959663,0.003291303,0.030429093,0.01391761,0.00156783,0.011335364,1.46E-06
Xizang,0.00181853,0.001512876,0.002083053,0.005838509,0.001627339,0.001304043,0.000954684,0.000344926,0.00192502,0.002233933,0.001436257,0.002668758,0.000630335,0.001302812,0.002473647,0.005418147,0.004571846,0.002314676,0.000235127,0.000467968,9.21E-05,0.008264712,0.100567388,0.00356634,0.008527696,0.344517114,0.012406664,0.027567354,0.237735646,0.014912247,0.013225251
Shaanxi,0.043991082,0.038001487,0.045594439,0.105797968,0.036807629,0.021786771,0.015300156,0.009027824,0.007029638,0.012127079,0.004617182,0.011039881,0.001608486,0.00354328,0.027235127,0.042671196,0.019007533,0.005475943,0.000761203,0.001192943,0.000556699,0.017828519,0.013664473,0.003817026,0.001156387,2.69E-05,0.135901644,0.052997694,0.004708559,0.122831522,0.000226576
Gansu,0.026101357,0.022684987,0.027865425,0.053549016,0.033777272,0.014559964,0.010763411,0.00640741,0.004375861,0.00678791,0.002869417,0.006083028,0.000992353,0.002205511,0.014279449,0.018977807,0.010327686,0.003518203,0.000481286,0.00079959,0.000327468,0.012737298,0.02961916,0.003126014,0.001219723,0.000668426,0.07175113,0.181173442,0.074207987,0.188976287,0.003206662
Qinghai,0.010399409,0.009425749,0.011436513,0.024563147,0.014753582,0.006274694,0.004532071,0.00233075,0.002687105,0.003663448,0.001809753,0.003694174,0.000619089,0.001321107,0.006612977,0.0098253,0.005801939,0.001992949,0.000229735,0.000363385,0.000155719,0.007083684,0.056089575,0.001634892,0.000569496,0.033483027,0.034073843,0.143020316,0.341093885,0.088508821,0.005538582
Ningxia,0.006183986,0.005072991,0.006296582,0.011198924,0.007705743,0.003425651,0.00254699,0.001586425,0.000687956,0.001236777,0.000455509,0.001023653,0.000171362,0.000345697,0.003019753,0.003417315,0.001526014,0.000497974,9.76E-05,0.000148475,6.32E-05,0.001403297,0.001607094,0.000365712,0.000110911,2.18E-05,0.01159621,0.016640374,0.002574738,0.046594726,0.000178315
Xinjiang,0.031771705,0.023664231,0.032297708,0.036330318,0.04351947,0.021752601,0.021092534,0.014136978,0.002902648,0.004261645,0.001649522,0.003333863,0.000512099,0.000951989,0.011081191,0.009404224,0.003902007,0.001390376,0.000208088,0.000288281,0.000149555,0.003005912,0.005335696,0.000713266,0.00014055,0.041892998,0.021641201,0.097169282,0.12264866,0.06126073,0.269313723
